month,rank,citation_count,title,arxiv_id,url,fetched_at,provisional
2025-01,1,946,Kimi k1.5: Scaling Reinforcement Learning with LLMs,2501.12599,https://arxiv.org/abs/2501.12599,2026-06-03T20:52:25.866960+00:00,0
2025-01,2,726,Janus-Pro: Unified Multimodal Understanding and Generation with Data and Model Scaling,2501.17811,https://arxiv.org/abs/2501.17811,2026-06-03T20:52:25.868246+00:00,0
2025-01,3,582,"SFT Memorizes, RL Generalizes: A Comparative Study of Foundation Model Post-training",2501.17161,https://arxiv.org/abs/2501.17161,2026-06-03T20:52:25.867976+00:00,0
2025-01,4,449,Multi-Agent Collaboration Mechanisms: A Survey of LLMs,2501.06322,https://arxiv.org/abs/2501.06322,2026-06-03T20:52:25.863587+00:00,0
2025-01,5,448,UI-TARS: Pioneering Automated GUI Interaction with Native Agents,2501.12326,https://arxiv.org/abs/2501.12326,2026-06-03T20:52:25.866899+00:00,0
2025-01,6,420,Search-o1: Agentic Search-Enhanced Large Reasoning Models,2501.05366,https://arxiv.org/abs/2501.05366,2026-06-03T20:52:25.863286+00:00,0
2025-01,7,307,Agentic Retrieval-Augmented Generation: A Survey on Agentic RAG,2501.09136,https://arxiv.org/abs/2501.09136,2026-06-03T20:52:25.865650+00:00,0
2025-01,8,232,Towards Large Reasoning Models: A Survey of Reinforced Reasoning with Large Language Models,2501.09686,https://arxiv.org/abs/2501.09686,2026-06-03T20:52:25.866080+00:00,0
2025-01,9,167,MedXpertQA: Benchmarking Expert-Level Medical Reasoning and Understanding,2501.18362,https://arxiv.org/abs/2501.18362,2026-06-03T20:52:25.868447+00:00,0
2025-01,10,99,Towards System 2 Reasoning in LLMs: Learning How to Think With Meta Chain-of-Thought,2501.04682,https://arxiv.org/abs/2501.04682,2026-06-03T20:52:25.863054+00:00,0
2025-02,1,299,Towards an AI co-scientist,2502.18864,https://arxiv.org/abs/2502.18864,2026-06-04T12:02:33.317126+00:00,0
2025-02,2,260,From System 1 to System 2: A Survey of Reasoning Large Language Models,2502.17419,https://arxiv.org/abs/2502.17419,2026-06-04T12:02:33.316863+00:00,0
2025-02,3,175,CoT-Valve: Length-Compressible Chain-of-Thought Tuning,2502.09601,https://arxiv.org/abs/2502.09601,2026-06-04T12:02:33.315425+00:00,0
